num_1_1,num_1_2,num_1_3,num_1_4m,num_0_1,num_0_2,num_0_3,num_0_4m,num_1_all,T=300k
1,2,1,0,3,0,0,1,8,1.8718272
4,0,0,1,2,1,1,0,8,1.7862341
0,1,0,2,1,2,0,0,10,1.4392103
1,2,1,0,0,2,1,0,8,1.3533149
2,1,1,0,3,1,1,0,7,1.6871625
1,3,1,0,3,1,0,0,10,2.2152729
2,0,0,1,0,2,0,1,6,1.3688754
5,1,0,0,3,1,1,0,7,1.7311169
1,1,0,1,2,0,0,1,9,1.2860926
2,0,1,1,3,0,1,0,9,1.5108826
1,0,0,2,0,3,0,0,9,1.4305292
4,2,0,0,3,2,0,0,8,2.0953453
4,1,1,0,4,1,0,0,9,2.143872
0,0,0,2,0,0,1,0,12,1.079922
4,1,0,0,3,3,0,0,6,1.8442421
4,1,0,0,1,2,0,1,6,1.818217
1,1,2,0,4,1,0,0,9,1.6719162
0,1,0,1,1,0,1,1,6,1.2020361
1,2,0,0,2,0,1,1,5,1.627095
2,1,1,0,0,2,0,1,7,1.7184498
4,1,0,0,0,3,1,0,6,1.5674391
2,0,1,1,1,2,0,0,10,1.6563404
3,0,1,0,1,4,0,0,6,1.3829665
1,3,1,0,3,1,0,0,10,2.2191119
6,0,0,0,3,1,0,1,6,1.5933079
1,0,3,0,2,0,1,0,10,1.304711
2,0,1,1,3,1,0,0,10,1.4708645
3,0,1,0,3,0,2,0,6,1.6141627
4,0,1,0,3,1,1,0,7,1.5906007
2,0,2,0,3,2,0,0,8,1.3203558
3,0,0,1,3,0,0,1,8,1.4226992
2,2,0,0,2,2,1,0,6,1.877003
4,1,1,0,4,1,0,0,9,2.1208458
1,1,0,2,3,0,0,0,12,1.7212458
5,0,0,0,2,1,2,0,5,1.5838583
