1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
272,1.392138,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
273,1.1306276,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
274,1.1069623,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
275,1.083395,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
276,1.2010365,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
277,1.1423146,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
278,1.0582758,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
279,1.1694129,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
280,1.1941521,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
281,1.1412734,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
282,1.211231,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
283,1.2020196,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
284,1.1375223,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
285,1.2505172,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
286,1.1783311,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
287,1.3863205,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
288,1.4008291,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
289,1.0638369,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
290,1.1265675,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
291,1.1486002,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
292,1.0961796,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
293,1.1285707,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
294,1.0980965,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
295,1.1399637,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
296,1.290275,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
297,1.1768843,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
298,1.180457,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
299,1.1041226,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
300,1.1035353,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
301,1.1879632,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
302,1.1498967,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
303,1.2088022,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
304,1.3559904,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
305,1.1077422,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
306,1.1388069,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
307,1.0940998,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
308,1.1977918,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
309,1.1908551,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
310,1.1354369,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
311,1.1926483,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
312,1.18612,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1
313,1.4392045,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
