1,T=300k,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13,parameter14,parameter15
274,1.6550987,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1
275,1.4789099,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1
276,1.4825473,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1
277,1.9658395,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1
278,1.2720288,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
279,1.6144598,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1
280,1.2207979,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
281,1.6398221,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1
282,1.2367436,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
283,1.7986267,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1
284,1.9042598,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1
285,1.4061273,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0
286,1.4895819,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1
287,1.7453401,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1
288,1.6951361,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1
289,2.000962,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1
290,1.343583,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
291,1.6500241,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1
292,1.6578653,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1
293,1.543685,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1
294,1.4995105,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1
295,1.3627918,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1
296,2.1674476,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1
297,1.4949723,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1
298,1.2907839,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1
299,1.1784838,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
300,1.8388371,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1
301,1.386006,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
302,1.6055491,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
303,1.2866555,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1
304,1.5898871,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1
305,1.814377,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0
306,1.492582,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
307,1.4337496,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1
308,1.0478618,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
309,1.4651061,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1
310,1.6193472,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1
311,1.8025537,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0
312,1.5621232,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
313,1.4713452,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
314,1.6687779,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
315,1.8665061,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1
316,1.5744969,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1
317,1.3868589,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1
318,1.8619828,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1
319,1.4359555,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0
320,1.4548705,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1
321,1.881207,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1
322,1.4636177,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1
323,1.8154254,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1
324,1.538011,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1
325,1.9565942,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1
326,1.9389853,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1
327,1.355363,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
328,1.5621592,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
329,1.2495757,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0
330,1.5241815,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0
331,1.6157824,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1
332,1.2508136,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
333,1.7839265,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1
334,1.7840886,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1
335,1.6565409,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
336,1.9045638,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1
337,2.1070004,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1
338,1.7590902,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1
339,1.5993786,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1
340,1.2897462,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1
341,1.2280202,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0
342,1.7897475,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0
343,1.7687186,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1
344,1.6536096,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1
345,1.6357714,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1
346,0.98396373,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
347,1.6261067,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1
348,1.9010211,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1
349,1.1637884,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
350,2.0658321,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1
351,2.2016733,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1
352,1.7287362,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0
353,1.4186193,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0
354,1.8179137,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1
355,1.7450908,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1
356,1.5001956,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0
357,2.016366,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1
358,1.342428,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
