score,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8
0.94414788,0,0,0,1,3,3,3,1
0.93725747,0,0,0,1,3,3,3,2
1.0165812,0,0,0,1,3,3,3,3
0.71236145,0,0,0,2,0,0,0,1
0.68505901,0,0,0,2,0,0,0,2
0.86892724,0,0,0,2,0,0,0,3
0.73848981,0,0,0,2,0,0,1,0
0.81798393,0,0,0,2,0,0,1,1
0.88261491,0,0,0,2,0,0,1,2
1.0233157,0,0,0,2,0,0,1,3
0.6818679,0,0,0,2,0,0,2,0
0.7867943,0,0,0,2,0,0,2,1
0.7665388,0,0,0,2,0,0,2,2
0.96686143,0,0,0,2,0,0,2,3
0.91027409,0,0,0,2,0,0,3,0
0.9845528,0,0,0,2,0,0,3,1
1.0195935,0,0,0,2,0,0,3,2
1.1522156,0,0,0,2,0,0,3,3
0.74017733,0,0,0,2,0,1,0,0
0.87808061,0,0,0,2,0,1,0,1
0.84543139,0,0,0,2,0,1,0,2
1.0766361,0,0,0,2,0,1,0,3
0.88950443,0,0,0,2,0,1,1,0
0.91176766,0,0,0,2,0,1,1,1
1.0049902,0,0,0,2,0,1,1,2
1.1309128,0,0,0,2,0,1,1,3
0.87443078,0,0,0,2,0,1,2,0
0.95872718,0,0,0,2,0,1,2,1
0.96812552,0,0,0,2,0,1,2,2
1.1583383,0,0,0,2,0,1,2,3
1.1069756,0,0,0,2,0,1,3,0
1.044414,0,0,0,2,0,1,3,1
1.065957,0,0,0,2,0,1,3,2
1.194844,0,0,0,2,0,1,3,3
0.72933125,0,0,0,2,0,2,0,0
0.8797577,0,0,0,2,0,2,0,1
0.79900479,0,0,0,2,0,2,0,2
1.0480778,0,0,0,2,0,2,0,3
0.90055341,0,0,0,2,0,2,1,0
0.99157667,0,0,0,2,0,2,1,1
1.0023531,0,0,0,2,0,2,1,2
1.184998,0,0,0,2,0,2,1,3
0.7901457,0,0,0,2,0,2,2,0
0.94267625,0,0,0,2,0,2,2,1
0.81742227,0,0,0,2,0,2,2,2
1.0805116,0,0,0,2,0,2,2,3
1.050153,0,0,0,2,0,2,3,0
1.0152327,0,0,0,2,0,2,3,1
1.0178864,0,0,0,2,0,2,3,2
1.1609329,0,0,0,2,0,2,3,3
0.97497982,0,0,0,2,0,3,0,0
1.0556921,0,0,0,2,0,3,0,1
1.0402144,0,0,0,2,0,3,0,2
1.2609392,0,0,0,2,0,3,0,3
1.1029038,0,0,0,2,0,3,1,0
1.1760598,0,0,0,2,0,3,1,1
1.205559,0,0,0,2,0,3,1,2
1.3136055,0,0,0,2,0,3,1,3
1.0673206,0,0,0,2,0,3,2,0
1.1723883,0,0,0,2,0,3,2,1
1.1433853,0,0,0,2,0,3,2,2
1.2815163,0,0,0,2,0,3,2,3
1.258261,0,0,0,2,0,3,3,0
1.2039945,0,0,0,2,0,3,3,1
1.2122383,0,0,0,2,0,3,3,2
1.2523671,0,0,0,2,0,3,3,3
0.78525263,0,0,0,2,1,0,0,1
0.88086504,0,0,0,2,1,0,0,2
0.96518201,0,0,0,2,1,0,0,3
0.89730012,0,0,0,2,1,0,1,0
0.93730587,0,0,0,2,1,0,1,1
0.96369833,0,0,0,2,1,0,1,2
1.0904849,0,0,0,2,1,0,1,3
0.87500781,0,0,0,2,1,0,2,0
0.79887742,0,0,0,2,1,0,2,1
0.99657863,0,0,0,2,1,0,2,2
1.0665834,0,0,0,2,1,0,2,3
1.1069001,0,0,0,2,1,0,3,0
1.1023233,0,0,0,2,1,0,3,1
1.1940926,0,0,0,2,1,0,3,2
1.2971939,0,0,0,2,1,0,3,3
0.83379501,0,0,0,2,1,1,0,0
0.9327926,0,0,0,2,1,1,0,1
1.0038786,0,0,0,2,1,1,0,2
1.1482325,0,0,0,2,1,1,0,3
0.90239137,0,0,0,2,1,1,1,0
0.89781368,0,0,0,2,1,1,1,1
0.91954738,0,0,0,2,1,1,1,2
1.0244204,0,0,0,2,1,1,1,3
0.86349958,0,0,0,2,1,1,2,0
0.94377309,0,0,0,2,1,1,2,1
0.96433353,0,0,0,2,1,1,2,2
1.1447618,0,0,0,2,1,1,2,3
1.0962096,0,0,0,2,1,1,3,0
1.0220263,0,0,0,2,1,1,3,1
1.0836074,0,0,0,2,1,1,3,2
1.1453652,0,0,0,2,1,1,3,3
0.83172792,0,0,0,2,1,2,0,0
0.9536289,0,0,0,2,1,2,0,1
1.0017228,0,0,0,2,1,2,0,2
1.1543115,0,0,0,2,1,2,0,3
0.91400611,0,0,0,2,1,2,1,0
1.0060579,0,0,0,2,1,2,1,1
0.98518831,0,0,0,2,1,2,1,2
1.1749744,0,0,0,2,1,2,1,3
0.92914689,0,0,0,2,1,2,2,0
0.94718403,0,0,0,2,1,2,2,1
0.99322665,0,0,0,2,1,2,2,2
1.1405655,0,0,0,2,1,2,2,3
1.1169616,0,0,0,2,1,2,3,0
1.0736339,0,0,0,2,1,2,3,1
1.1180471,0,0,0,2,1,2,3,2
1.2044928,0,0,0,2,1,2,3,3
1.0501148,0,0,0,2,1,3,0,0
1.1738218,0,0,0,2,1,3,0,1
1.2090143,0,0,0,2,1,3,0,2
1.3760525,0,0,0,2,1,3,0,3
1.0399417,0,0,0,2,1,3,1,0
1.097418,0,0,0,2,1,3,1,1
1.0869876,0,0,0,2,1,3,1,2
